,Location,acq_date,count,latitude,longitude,brightness,bright_t31,confidence
205,Richmond,30/10/2017,1,-19.9207,143.1358,332.5,298.0,66.0
206,Richmond,30/11/2015,1,-19.8562,142.3648,342.1,301.6,85.0
207,Richmond,31/01/2017,1,-20.5088,142.6771,323.0,298.3,20.0
208,Richmond,31/12/2017,1,-19.7123,142.1111,330.2,301.0,72.0
209,Richmond,4/12/2016,3,-19.645633333333333,142.86616666666666,333.9666666666667,309.96666666666664,82.0
210,Richmond,5/11/2017,3,-19.550533333333334,142.6757666666667,351.5,304.73333333333335,90.33333333333333
211,Richmond,5/12/2016,1,-19.594,143.1732,335.3,314.4,72.0
212,Richmond,5/12/2017,1,-19.6823,143.2742,342.2,313.3,87.0
213,Richmond,6/01/2017,1,-20.1312,142.2751,314.9,294.7,13.0
214,Richmond,6/11/2015,2,-19.7448,142.92315000000002,342.65,312.0,87.5
215,Richmond,6/11/2017,1,-19.5367,142.7957,308.3,295.6,71.0
216,Richmond,7/11/2015,1,-19.6331,143.1127,335.1,312.7,74.0
217,Richmond,7/11/2017,1,-19.6524,143.1537,331.4,307.0,69.0
218,Richmond,7/12/2017,4,-19.841075,143.166025,330.2,305.575,73.25
219,Richmond,8/01/2017,1,-20.6182,142.2371,320.2,293.7,46.0
220,Richmond,9/11/2015,1,-19.6305,143.0495,339.8,320.9,80.0
221,Richmond,9/12/2017,2,-19.7838,143.40515,348.65,316.45,77.0
222,SalmonGums,19/03/2016,1,-32.9421,121.6041,306.0,280.5,27.0
223,Sydney,1/08/2015,2,-33.754149999999996,150.36245000000002,324.5,282.55,74.0
224,Sydney,1/09/2017,2,-34.0684,150.4488,315.05,287.45000000000005,49.0
225,Sydney,10/04/2016,1,-33.5071,150.9834,308.3,297.9,44.0
226,Sydney,10/05/2017,1,-33.8518,150.4199,324.9,288.3,77.0
227,Sydney,10/09/2017,1,-33.7884,151.2571,316.5,294.0,66.0
228,Sydney,10/10/2015,2,-33.741699999999994,151.12535,319.1,298.2,72.0
229,Sydney,11/04/2016,1,-33.3988,151.1385,318.9,295.2,75.0
230,Sydney,12/08/2017,1,-33.4474,150.9035,322.5,293.4,71.0
231,Sydney,13/08/2017,1,-33.9068,150.5097,325.5,288.3,65.0
232,Sydney,13/11/2016,1,-33.6913,150.7719,331.9,303.0,84.0
233,Sydney,14/08/2017,1,-33.4006,151.2216,303.2,291.1,25.0
234,Sydney,14/09/2015,1,-33.7075,151.1315,320.0,297.4,78.0
235,Sydney,15/08/2015,1,-33.6883,150.5337,300.2,287.6,32.0
236,Sydney,15/10/2016,1,-33.4614,150.8967,315.0,296.5,74.0
237,Sydney,16/04/2016,2,-33.55225,150.8707,306.3,281.3,54.0
238,Sydney,16/08/2015,1,-34.073,150.5711,310.1,289.1,70.0
239,Sydney,16/09/2015,1,-33.966,150.6434,306.2,292.4,53.0
240,Sydney,16/11/2015,1,-34.0021,150.8727,308.0,290.7,35.0
241,Sydney,17/10/2015,1,-33.6609,151.0028,317.1,296.7,67.0
242,Sydney,18/01/2015,3,-33.91143333333333,150.86596666666668,322.3,308.09999999999997,59.0
243,Sydney,18/08/2015,2,-33.79115,150.54185,327.95000000000005,286.7,85.5
244,Sydney,18/11/2015,1,-33.9515,151.2117,324.2,307.4,57.0
245,Sydney,19/05/2016,1,-33.5054,150.6012,301.1,289.8,44.0
246,Sydney,2/01/2015,1,-33.7745,150.9525,322.5,302.4,73.0
247,Sydney,20/05/2016,3,-33.63003333333333,150.66786666666667,310.56666666666666,292.59999999999997,59.0
248,Sydney,20/08/2015,3,-33.57736666666667,150.67616666666666,309.0333333333333,290.06666666666666,46.333333333333336
249,Sydney,21/05/2016,2,-33.763400000000004,150.93595,307.55,286.15,62.0
250,Sydney,22/08/2015,2,-33.60985,151.26575,316.8,296.8,67.0
251,Sydney,25/11/2016,1,-34.1159,150.7895,319.6,300.8,61.0
252,Sydney,26/07/2017,1,-33.6864,150.9091,312.4,292.8,72.0
253,Sydney,28/09/2016,1,-33.5202,150.4459,311.4,291.5,70.0
254,Sydney,3/01/2015,1,-33.8218,150.7899,325.3,306.6,34.0
255,Sydney,3/02/2015,1,-33.9408,151.0009,314.5,299.5,25.0
256,Sydney,3/09/2015,1,-33.87,150.7815,303.6,291.6,44.0
257,Sydney,3/10/2015,2,-33.824600000000004,150.92745,334.4,302.3,83.5
258,Sydney,30/08/2015,1,-33.9732,150.7186,303.8,289.5,57.0
259,Sydney,6/03/2016,1,-33.6069,150.6579,319.3,303.6,50.0
260,Sydney,6/05/2016,1,-33.6331,150.4181,319.0,293.0,76.0
261,Sydney,6/09/2017,1,-33.7802,151.1355,321.6,294.1,81.0
262,Sydney,7/01/2015,1,-33.949,151.2099,303.4,291.8,55.0
263,Sydney,7/05/2017,1,-33.4019,151.0396,312.0,292.3,54.0
264,Sydney,8/03/2015,1,-33.9067,150.5967,359.8,300.4,89.0
265,Sydney,8/03/2016,1,-33.6076,151.2731,323.6,301.2,64.0
266,Sydney,8/05/2017,1,-33.9458,150.7079,306.2,285.0,63.0
267,Sydney,8/08/2015,1,-34.0504,151.0054,302.9,287.8,54.0
268,Sydney,9/10/2015,1,-33.5752,150.9223,311.3,298.7,55.0
269,Townsville,10/09/2015,1,-19.3552,146.8604,340.1,308.7,87.0
270,Townsville,11/08/2015,1,-19.2752,146.6774,320.3,305.1,57.0
271,Townsville,18/05/2015,1,-19.2143,146.7561,302.6,289.9,35.0
272,Townsville,19/05/2015,1,-19.1972,146.746,326.2,295.8,0.0
273,Townsville,19/07/2015,1,-19.2905,146.8171,318.2,298.7,68.0
274,Townsville,2/06/2015,1,-19.3637,146.8112,306.9,292.0,19.0
275,Townsville,6/06/2015,1,-19.3617,146.6815,331.9,305.2,83.0
276,Townsville,9/05/2015,1,-19.3371,146.8633,321.0,307.8,62.0
277,Tuggeranong,17/05/2015,1,-35.4915,149.1533,305.7,285.0,62.0
278,Tuggeranong,9/05/2015,1,-35.4915,149.1324,312.2,285.5,63.0
279,WaggaWagga,1/04/2015,2,-35.015550000000005,147.5285,324.1,298.2,73.0
280,WaggaWagga,10/03/2015,2,-35.42815,146.84945,327.3,305.85,72.5
281,WaggaWagga,10/04/2015,3,-35.3111,147.39556666666667,330.8666666666667,301.5333333333333,77.33333333333333
282,WaggaWagga,10/05/2017,1,-34.8181,147.8757,313.8,293.9,72.0
283,WaggaWagga,10/06/2015,2,-35.4602,147.49135,302.79999999999995,280.54999999999995,51.0
284,WaggaWagga,11/03/2015,2,-35.1994,147.27315,334.95,314.7,79.0
285,WaggaWagga,13/03/2015,4,-35.327475,147.03945000000002,336.25,307.57500000000005,80.0
286,WaggaWagga,13/04/2015,3,-35.2472,147.75256666666667,314.93333333333334,298.5,61.333333333333336
287,WaggaWagga,14/02/2017,1,-35.3021,147.5747,322.7,289.0,100.0
288,WaggaWagga,14/04/2015,2,-34.93335,147.2663,330.85,298.75,67.0
289,WaggaWagga,14/04/2016,1,-35.1101,147.0275,333.6,306.4,83.0
290,WaggaWagga,15/04/2015,2,-35.072649999999996,147.4481,326.0,295.79999999999995,80.0
291,WaggaWagga,16/03/2015,1,-35.3311,146.8973,325.2,297.9,78.0
292,WaggaWagga,16/04/2015,6,-35.24186666666667,147.24393333333333,326.3333333333333,301.05,69.16666666666667
293,WaggaWagga,16/05/2015,1,-34.8253,147.2982,307.5,297.4,61.0
294,WaggaWagga,17/03/2016,1,-35.0539,147.3251,322.1,304.2,59.0
295,WaggaWagga,17/05/2015,1,-35.2202,147.6249,322.3,293.1,78.0
296,WaggaWagga,18/03/2015,4,-35.104275,147.18455,329.825,310.35,73.0
297,WaggaWagga,18/04/2016,1,-35.4091,147.2937,318.4,300.4,74.0
298,WaggaWagga,18/05/2017,1,-35.0829,147.7608,306.9,291.7,64.0
299,WaggaWagga,19/03/2015,1,-35.1512,146.8186,325.5,306.3,70.0
300,WaggaWagga,2/03/2015,2,-35.092299999999994,147.44299999999998,346.05,316.9,84.5
301,WaggaWagga,21/03/2016,1,-35.3007,147.4321,317.1,297.9,61.0
302,WaggaWagga,23/02/2015,2,-35.0787,147.23675,340.79999999999995,314.7,81.0
303,WaggaWagga,23/04/2015,1,-34.9981,147.6035,309.6,293.5,57.0
304,WaggaWagga,23/09/2017,1,-35.3467,147.8193,327.6,297.9,82.0
305,WaggaWagga,24/03/2015,1,-35.27,147.2093,321.1,296.1,73.0
306,WaggaWagga,24/05/2015,1,-35.2174,147.6641,306.5,285.8,64.0
307,WaggaWagga,25/03/2016,1,-35.5426,147.92700000000002,321.0,297.7,75.0
308,WaggaWagga,26/02/2015,2,-35.205600000000004,146.81990000000002,331.4,310.1,75.5
309,WaggaWagga,26/03/2015,1,-34.9608,146.945,308.1,295.7,53.0
310,WaggaWagga,26/05/2015,1,-35.5324,147.7146,314.5,282.8,75.0
311,WaggaWagga,26/09/2017,1,-35.3505,147.6863,309.4,298.5,63.0
312,WaggaWagga,27/02/2015,2,-34.9731,147.2789,332.35,313.0,66.0
313,WaggaWagga,27/03/2015,1,-35.041,146.9683,315.3,295.1,13.0
314,WaggaWagga,28/02/2015,1,-35.2278,147.0659,333.9,317.8,75.0
315,WaggaWagga,28/03/2015,2,-34.912499999999994,147.1854,328.0,306.25,78.0
316,WaggaWagga,28/04/2015,1,-34.9753,147.7345,336.9,295.1,90.0
317,WaggaWagga,28/04/2016,1,-35.4683,147.3783,307.8,284.7,48.0
318,WaggaWagga,29/04/2015,2,-35.46854999999999,147.34789999999998,314.4,291.35,71.0
319,WaggaWagga,3/04/2015,3,-35.240566666666666,147.43023333333332,336.93333333333334,307.3666666666667,86.0
320,WaggaWagga,3/05/2015,1,-35.4853,147.2681,317.0,298.3,74.0
321,WaggaWagga,31/03/2015,3,-35.09086666666666,147.3882,326.83333333333337,305.26666666666665,75.33333333333333
322,WaggaWagga,4/03/2015,1,-34.8827,147.7398,359.3,316.6,99.0
323,WaggaWagga,5/05/2016,1,-35.3754,147.8472,305.6,289.6,58.0
324,WaggaWagga,7/03/2015,1,-34.8604,147.5165,368.5,308.1,100.0
325,WaggaWagga,8/04/2015,3,-34.92786666666667,146.90336666666667,305.5,290.26666666666665,56.666666666666664
326,WaggaWagga,9/03/2015,2,-35.16355,147.31595,338.65,312.25,80.0
327,Walpole,17/12/2015,1,-34.9888,116.7095,314.7,287.2,90.0
328,Walpole,2/12/2017,1,-34.9752,116.7589,326.5,298.0,74.0
329,Witchcliffe,25/04/2015,2,-34.04625,115.09285,307.65,289.4,63.5
330,Wollongong,14/09/2015,1,-34.3463,150.7357,327.3,295.8,64.0
331,Wollongong,24/05/2017,1,-34.5751,150.7834,301.7,289.4,48.0
332,Wollongong,25/11/2016,1,-34.3663,150.9096,309.1,297.7,0.0
333,Wollongong,4/01/2015,1,-34.4583,150.8844,326.8,304.2,60.0
334,Wollongong,4/11/2016,1,-34.4257,150.8099,326.5,298.3,82.0
